地名,,燃やすごみ,燃やさないごみ,容器包装プラスチック,空き缶,空きびん 蛍光管,ペットボトル,紙パック,受け入れできないごみ
惇明地区-京町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-呉服町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-長町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-上新町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-下新町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-鍛冶町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-上紺屋町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-東中ノ町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-中ノ町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-西中ノ町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-南栄町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-北栄町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-駅前町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-内記一丁目,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-内記二丁目,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-内記三丁目,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-内記四丁目,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-内記五丁目,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-内記六丁目,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-内記六丁目北,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-岡ノ一町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-岡ノ二町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-岡ノ三町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-岡ノ上町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-東岡町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-西岡町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-広峯町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-陵北町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-南岡町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-緑ケ丘町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-北岡町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-旭が丘,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-つつじが丘,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-夕陽が丘,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-南天田町,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-南天田自衛隊宿舎,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
惇明地区-丸田ケ丘,,月 木,水2 水4,金,火2 火4,火1 火3,水1 水3,火1 火2  火3 火4 水1 水3,全
